iter	Passed	Remaining
0	35	10749
1	55	8272
2	79	7884
3	92	6857
4	112	6621
5	137	6750
6	153	6427
7	169	6177
8	192	6223
9	213	6195
10	235	6176
11	260	6244
12	274	6057
13	286	5860
14	310	5893
15	334	5940
16	350	5827
17	369	5792
18	392	5805
19	420	5888
20	444	5910
21	468	5914
22	491	5921
23	515	5932
24	540	5942
25	561	5912
26	575	5814
27	598	5812
28	609	5699
29	621	5589
30	644	5591
31	668	5597
32	683	5529
33	707	5537
34	732	5544
35	752	5520
36	777	5524
37	802	5534
38	828	5542
39	854	5551
40	878	5548
41	892	5485
42	917	5483
43	942	5481
44	966	5479
45	991	5474
46	1019	5487
47	1044	5484
48	1070	5485
49	1098	5492
50	1124	5490
51	1149	5482
52	1175	5477
53	1200	5469
54	1226	5463
55	1238	5395
56	1262	5383
57	1288	5375
58	1314	5370
59	1340	5361
60	1358	5324
61	1383	5311
62	1410	5307
63	1436	5298
64	1453	5253
65	1478	5243
66	1503	5228
67	1530	5221
68	1555	5207
69	1580	5192
70	1605	5176
71	1630	5162
72	1655	5149
73	1681	5135
74	1706	5118
75	1730	5101
76	1755	5083
77	1781	5071
78	1808	5057
79	1833	5041
80	1858	5023
81	1882	5005
82	1908	4990
83	1933	4970
84	1957	4950
85	1982	4933
86	2006	4913
87	2032	4897
88	2057	4877
89	2081	4857
90	2107	4839
91	2132	4821
92	2156	4799
93	2180	4778
94	2205	4759
95	2229	4738
96	2255	4719
97	2275	4689
98	2300	4669
99	2324	4649
100	2349	4629
101	2374	4609
102	2401	4593
103	2427	4574
104	2452	4554
105	2477	4533
106	2501	4511
107	2521	4483
108	2546	4461
109	2571	4442
110	2596	4421
111	2621	4400
112	2635	4360
113	2646	4318
114	2671	4297
115	2696	4277
116	2722	4258
117	2747	4237
118	2762	4201
119	2787	4181
120	2813	4162
121	2839	4142
122	2863	4120
123	2887	4098
124	2913	4078
125	2937	4056
126	2960	4033
127	2985	4011
128	3010	3990
129	3034	3968
130	3046	3930
131	3072	3909
132	3097	3889
133	3123	3868
134	3149	3848
135	3174	3828
136	3199	3807
137	3224	3785
138	3249	3763
139	3273	3741
140	3298	3719
141	3324	3699
142	3349	3677
143	3375	3656
144	3401	3636
145	3420	3608
146	3430	3570
147	3455	3548
148	3479	3526
149	3504	3504
150	3529	3482
151	3553	3459
152	3576	3436
153	3601	3414
154	3624	3390
155	3642	3362
156	3660	3334
157	3685	3312
158	3703	3284
159	3727	3261
160	3752	3239
161	3777	3217
162	3802	3195
163	3827	3173
164	3851	3151
165	3875	3128
166	3899	3105
167	3923	3083
168	3948	3060
169	3972	3038
170	3996	3015
171	4020	2992
172	4044	2969
173	4068	2946
174	4091	2922
175	4115	2899
176	4139	2876
177	4164	2854
178	4189	2831
179	4212	2808
180	4231	2781
181	4255	2759
182	4278	2735
183	4303	2712
184	4326	2689
185	4350	2666
186	4374	2643
187	4400	2621
188	4424	2598
189	4449	2575
190	4473	2553
191	4497	2530
192	4521	2507
193	4545	2483
194	4569	2460
195	4593	2437
196	4617	2414
197	4641	2391
198	4666	2368
199	4690	2345
200	4715	2322
201	4740	2299
202	4764	2276
203	4788	2253
204	4813	2230
205	4836	2207
206	4860	2183
207	4884	2160
208	4908	2137
209	4933	2114
210	4958	2091
211	4982	2068
212	5009	2046
213	5034	2023
214	5058	1999
215	5084	1977
216	5109	1954
217	5134	1931
218	5158	1907
219	5182	1884
220	5207	1861
221	5231	1838
222	5255	1814
223	5280	1791
224	5305	1768
225	5330	1745
226	5354	1721
227	5379	1698
228	5405	1676
229	5430	1652
230	5456	1629
231	5481	1606
232	5505	1583
233	5530	1559
234	5554	1536
235	5579	1512
236	5604	1489
237	5629	1466
238	5653	1443
239	5677	1419
240	5701	1395
241	5726	1372
242	5751	1349
243	5777	1325
244	5803	1302
