group;main_unit_off;main_unit_ps;main_unit_fid
group 1;УПН-1, УПАВ, БКНС, фонд нефтяных скважин, водозаборные скважины;;
group 2;ВЛ-35 КНС-1;;
group 2;ВЛ-6 ф.377-16;377;16
group 2;ВЛ-35 ДНС-12-1;12;1
group 2;ВЛ-35 ДНС-12-2;12;2
group 2;ВЛ-6 ф.3-13Е;;
group 3;"ПС-32 «Север»  В-35кВ М-27, 28; В-10кВ ф.32-20, 30,                                    ПС-31 «ЦПС» В-35кВ  М-5; В-10кВ ф.31-27, 33, 47, 10, 14, 26, 36, 38, 40, 42, ПС-30 «Тихоновская»  В-10кВ ф.30-53, 51, 04, 06, 13";32;20
group 2;ВЛ-6 ф.13-11;13;11
group 2;В-6 ф.1-29;;29
group 2;В-6 ф.1-29;;29
group 3;"ВЛ-35кВ М-5,
ВЛ-35кВ М-6
";;
group 2;ВЛ-6 ф.87-18;87;18
group 2;ВЛ-6 ф. 76-16;76;16
group 2;В-35 ВЛ КНС-1;;
group 2;ВЛ-35кВ КНС-3-2;;
group 2;КТП-6/04кВ ДНС-12;;
group 2;ВЛ-6кВ ф.К-05;к;5
group 2;ВЛ-6кВ ф. 2-14;;14
group 2;массовое УНПА Юг-Талинка;массовое УНПА Юг-Талинка;
group 2;ВЛ-6 ф.156-06;156;6
group 3;Фонд скв. КП-7 (скважины 202,210,199,213,220,193,194,207  );;
group 2;ВЛ-6кВ ф.542-4;542;4
group 2;ВЛ-6 ф.76-08;76;8
group 2;"ПС 35/6 кВ К-233,
ВЛ-6кВ Ф. 233-18";35;18
group 2;ВЛ-6 ф.254-04;254;4
group 2;ВЛ-6 ф.136-06;136;6
group 2;КТП-6/04кВ           К-459б,457б;;
group 2;скв.мех.добычи к.74,75Е-Е;;
group 2;ВЛ-6кВ Ф. 156-14;156;14
group 2;КТП 6/0,4кВ ДНС-1Е ввод №1, ввод №2;;
group 4;ВЛ-6кВ ф.255-16;255;16
group 5;"ТГ-5,6,
КА-6,8";;
group 6;"ГТЭС-42 ГТУ-3   
   ДЭС-1: ДГУ-4,6,7,8,9  ";;
group 2;скв.мех.добычи;скв.мех.добычи;
group 2;ВЛ-6 ф.459-06;459;6
group 2;ВЛ-35 ДНС-12-2;12;2
group 2;ВЛ-6 ф.254-06;254;6
group 2;ВЛ-6 ф.459-06;459;6
group 2;ВЛ-6 ф.14-08;14;8
group 2;ВЛ-6 ф.14-08;14;8
group 2;ВЛ-6 ф.14-08;14;8
group 2;ВЛ-6 ф.32-24;32;24
group 2;ВЛ-6 ф.32-24;32;24
group 2;ВЛ-6 ф.45-06;45;6
group 2;ВЛ-110 Красноленинская -Вандмтор-1,2;;
group 2;ВЛ-6 ф.33-06;33;6
group 2;ВЛ-6 ф.324-04;324;4
group 2;скв.мех.добычи ;скв.мех.добычи;
group 2;скв.мех.добычи ;скв.мех.добычи;
group 2;ВЛ-6кВ ф.37-18;37;18
group 2;ВЛ-35кВ КНС-17-1;17;1
group 2;ВЛ-6кВ ф.4-07,    ф. 4-18;;7
group 2;ВЛ-6кВ ф.48-16;48;16
group 2;ВЛ-6кВ  ф. 4-18;;18
group 2;ВЛ-6кВ ф.289-04;289;4
group 3;Потребители КП-1 (спранг №1,2, вертолетная площадка, пост охраны КП-1, вагон-дома Шлюмберже, вагон-дома Сиб-Транс НВ, обогрев РВС 700 (2 шт), цементный завод) и скважины 969, 1051, 3746;;
group 2;ВЛ-6кВ ф.520-06;520;6
group 2;ВЛ-6кВ ф.33-06;33;6
